,Feature,Coefficient
42,pct_arthuman_2000,1.1223305783953696
47,pct_tradepersonal_2000,1.0447327609609522
5,count,0.9190196726428553
46,pct_stem_2000,0.866178669074712
39,exp_instr_2000,0.8603512271748208
4,tier,0.8207625286369711
38,exp_instr_2012,0.6807487093822681
1,upper-middle_class,0.659466718870953
8,k_mean,0.6574786386233913
2,lower_class_inventor,0.6488899177691211
3,lower-middle_class_inventor,0.617970343445025
26,k_married_cond_parq4,0.60336608116637
40,asian_or_pacific_share_fall_2000,0.525080055996447
31,ipeds_enrollment_2000,0.47064583158264983
23,ktop1pc_cond_parq4,0.46451420567280766
14,kq3_cond_parq2,0.3646766189101775
6,female,0.34417541043187233
15,kq1_cond_parq3,0.32713634265348085
25,k_married_cond_parq2,0.325126041081798
48,Large Endowment,0.3250574385717339
0,lower_class,0.31801004896478124
45,pct_publicsocial_2000,0.18019710303146155
43,pct_health_2000,0.17616552370113842
18,kq3_cond_parq4,0.11204856671400366
10,kq1_cond_parq1,0.07144547058915209
32,sticker_price_2000,0.037410424003426
29,exp_instr_pc_2013,-0.02172668144669528
34,avgfacsal_2013,-0.062148000901545646
41,alien_share_fall_2000,-0.06536727361961318
13,kq1_cond_parq2,-0.07392756775616852
9,k_rank_cond_parq1,-0.08229181483430324
36,scorecard_rej_rate_2013,-0.11471790557587656
21,kq3_cond_parq5,-0.1334592126789517
24,k_married_cond_parq1,-0.1565669479115347
30,ipeds_enrollment_2013,-0.18359007420828588
17,kq3_cond_parq3,-0.21393686105716908
37,scorecard_median_earnings_2011,-0.2346546742719272
12,kq4_cond_parq1,-0.24362021174021783
16,kq2_cond_parq3,-0.24945213103856959
33,grad_rate_150_p_2013,-0.25656075345553186
11,kq2_cond_parq1,-0.31196360465038675
49,Medium Endowment,-0.33771346073895675
50,Small Endowment,-0.339655240218346
44,pct_multidisci_2000,-0.3461444715691832
35,scorecard_netprice_2013,-0.3558521761041875
28,exp_instr_pc_2000,-0.4614522520813269
20,kq1_cond_parq5,-0.5521314165865305
27,k_married_cond_parq5,-0.5637345331934718
7,mr_kq5_pq1,-0.6528923807341405
22,ktop1pc_cond_parq2,-0.8514413399986852
19,kq4_cond_parq4,-1.2909275118856365
